base_domain,indices_reference
1300meteor,"[4032, 5130, 20419, 6998, 29571]"
1800toyotaland,"[1942, 8821, 13951, 24076, 29884, 24958, 20503, 23226]"
180chicago,"[961, 1668, 16118, 29548, 33062]"
1ecard,"[2511, 26002, 11155, 22535, 26679, 4693, 12824, 11709, 18341, 24686, 32928, 21685, 8570, 21153, 6881, 9583, 18104, 11377, 446, 3576, 21196, 24667, 32322, 19885, 8403]"
20cube,"[11407, 33021, 7846, 24888, 1148]"
2game,"[2051, 8446, 12365, 6692]"
360orthodontics,"[3693, 19009, 19799, 23317, 23820, 26137, 30748]"
3cheersprostudio,"[14911, 16651, 17436, 27657]"
4a,"[9696, 12573, 3725, 3459]"
550madison,"[5899, 12272, 29281, 834, 2931, 30319, 10706]"
5starcleaningservicesllc,"[5017, 6086, 20581, 3880, 26101]"
616,"[25369, 18714, 19295, 20688, 24520, 25188]"
67thdc,"[7051, 32337, 27725, 15181, 10872, 9090, 33445, 10423]"
852call,"[12268, 15035, 2205, 2257, 12208]"
a-1-locksmith,"[163, 4508, 6028, 16032, 22272, 23186]"
a-fusion,"[5574, 7963, 8322, 29618, 15856]"
a-hotel,"[25539, 15994, 9638, 7490, 5285, 21186]"
a-jsheetmetal,"[23377, 917, 985, 9732, 13765, 19310, 27884, 31979]"
a-lan,"[11870, 16368, 31439, 25315, 32249, 24742, 5796, 33014]"
a-life,"[17493, 26438, 7440, 26740]"
a-maxhardwood,"[6767, 6469, 14066, 16098, 25878, 14294]"
a10-equipment,"[1245, 3050, 19221, 31003]"
a1affordableseamlessgutters,"[26823, 4528, 31602, 32164, 15237]"
a1barricadeandsign,"[3417, 7227, 13392, 28044, 15566]"
a1interlock,"[3007, 30183, 30814, 18937, 24982, 9111, 16762]"
a1spaandpoolrepair,"[9261, 319, 14098, 31820, 26191]"
a2lconciergerie,"[6144, 7302, 9423, 17134, 24685]"
aaaauto,"[5287, 6261, 9004, 14499, 19032, 26874, 16378, 6757, 24157, 10947, 31048, 18024, 33198, 8522, 2826, 12166, 2012, 2, 4827, 23087, 17855, 31340, 27665, 25123, 12498, 31446, 449, 19890, 2284, 30087]"
aaafotofast,"[21554, 28074, 28423, 32592]"
aaasling,"[9233, 26121, 685, 20579, 16661]"
aaautomobiles,"[13872, 32742, 28083, 33133, 31787]"
aanddtech,"[2399, 7273, 30405, 20942, 24332]"
aavailable,"[29153, 22511, 25472, 29420, 601]"
abaccusautocenter,"[8156, 31223, 7737, 32057, 32640, 12184]"
abaoftampabay,"[4956, 18499, 15222, 24648]"
